eigenvalue,multiplicity,estimated rational
[3.9999948],1,4
[3.286572],12,[3.28657]
[2.999999],11,3
[2.740539],6,[2.74054]
[2.6942148],6,326/121
[2.5615523],13,[2.56155]
[2.5243387],4,[2.52434]
[2.4985445],6,5/2
[2.4753518],12,[2.47535]
[2.397544],6,[2.39754]
[2.299985],8,23/10
[2.0000002],4,2
[1.9318504],8,[1.93185]
[1.8823131],8,[1.88231]
[1.732051],2,[1.73205]
[1.5005895],6,3/2
[0.99999994],11,1
[0.9011801],6,[0.90118]
[0.86093813],6,[0.86094]
[0.8136058],6,[0.81361]
[0.79228735],4,[0.79229]
[0.7030584],8,[0.70306]
[0.6996015],6,[0.6996]
[0.5176367],8,[0.51764]
[0.44547978],12,[0.44548]
[0.41421312],6,[0.41421]
[0.24835777],8,[0.24836]
[-9.943432e-07],15,0
[-0.51763785],8,[-0.51764]
[-0.699601],6,[-0.6996]
[-0.76652735],8,[-0.76653]
[-0.792288],4,[-0.79229]
[-0.8609396],6,[-0.86094]
[-0.99999917],17,-1
[-1.470683],6,[-1.47068]
[-1.50059],6,-3/2
[-1.5615529],13,[-1.56155]
[-1.7320514],2,[-1.73205]
[-1.9318525],8,[-1.93185]
[-1.9999998],4,-2
[-2.165245],8,[-2.16524]
[-2.2074027],12,[-2.2074]
[-2.2717042],6,[-2.2717]
[-2.3975468],6,[-2.39755]
[-2.4142106],6,[-2.41421]
[-2.5243375],4,[-2.52434]
[-2.6942127],6,[-2.69421]
[-2.7405386],6,[-2.74054]
[-2.87392],8,[-2.87392]
[-3.],4,-3
[-3.12802],6,[-3.12802]
[-3.3280203],8,[-3.32802]
[-3.342922],6,[-3.34292]
